company_name,deg_weighted,deg_centrality,betweenness,eigenvector,clustering,success,total_raised,employees
Vivace Therapeutics,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.33721455640687625,95.0,105.0,9.0
Tessell,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.33742926827199704,86.0,94.0,143.0
Imperia,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,85.0,14.04,60.0
HockeyStack,24,0.1085972850678733,5.876476464711758e-07,0.003695531044447771,0.3336472476448005,94.0,22.7,58.0
FitOn,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,89.0,134.43,118.0
OpenAI,120,0.5113122171945702,0.01511249937907712,0.14720148540284314,0.20035346420571523,98.0,63916.5,4500.0
Nilus (Financial Software),24,0.1085972850678733,5.876476464711758e-07,0.003695531044447771,0.3336472476448005,92.0,16.0,45.0
Endor Labs,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.33742926827199704,90.0,163.0,133.0
Temporal,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068763,96.0,349.5,188.0
ShopMy,24,0.1085972850678733,5.876476464711758e-07,0.003695531044447771,0.3336472476448005,96.0,96.0,190.0
Keychain (Business/Productivity Software),47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.33742926827199704,95.0,35.0,42.0
Spyne,53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,89.0,27.3,180.0
Artisan AI,54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068763,92.0,39.3,35.0
Chainguard,101,0.4208144796380091,0.010517462735704893,0.09532811713249359,0.21165969254590897,94.0,606.0,350.0
Paper (Multimedia and Design Software),53,0.2398190045248869,4.197483189079827e-07,0.012034167243695881,0.3333962073173427,,4.2,4.0
Freed (Healthcare Technology Systems),54,0.24434389140271495,2.8183935457571513e-05,0.05654176723122016,0.3372145564068763,70.0,34.0,89.0
Raise (Services),77,0.3484162895927602,0.05035591392734247,0.015520765774241775,0.18882659399633056,97.0,209.11,78.0
Neko Health,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.33742926827199704,92.0,331.13,44.0
Rain,47,0.21266968325791857,2.3378621250766602e-05,0.04006949087532578,0.33742926827199704,98.0,254.6,175.0
